model,normalization,accuracy,precision,recall,f1_score,roc_auc,training_time_s
StackingClassifier,StandardScaler,0.9327731092436975,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.9783871882086168,5.950026750564575
StackingClassifier,None,0.9327731092436975,0.9365079365079365,0.9365079365079365,0.9365079365079365,0.9783163265306123,6.250386953353882
ExtraTrees,None,0.907563025210084,0.9333333333333333,0.8888888888888888,0.9105691056910569,0.9782100340136054,0.31484508514404297
ExtraTrees,MinMaxScaler,0.907563025210084,0.9333333333333333,0.8888888888888888,0.9105691056910569,0.9782100340136054,0.30034756660461426
ExtraTrees,StandardScaler,0.907563025210084,0.9333333333333333,0.8888888888888888,0.9105691056910569,0.9782100340136054,0.30063343048095703
VotingClassifier,StandardScaler,0.9369747899159664,0.937007874015748,0.9444444444444444,0.9407114624505929,0.9745606575963719,1.0830464363098145
VotingClassifier,None,0.9285714285714286,0.936,0.9285714285714286,0.9322709163346613,0.9744897959183673,1.1183738708496094
XGBoost,StandardScaler,0.9369747899159664,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9717261904761906,0.08357930183410645
XGBoost,MinMaxScaler,0.9369747899159664,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9717261904761906,0.08350276947021484
XGBoost,None,0.9369747899159664,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9717261904761906,0.09872126579284668
RandomForest,None,0.9243697478991597,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9707695578231292,0.43099164962768555
RandomForest,MinMaxScaler,0.9243697478991597,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.970734126984127,0.399761438369751
RandomForest,StandardScaler,0.9285714285714286,0.9291338582677166,0.9365079365079365,0.932806324110672,0.970734126984127,0.41632628440856934
LightGBM,MinMaxScaler,0.9117647058823529,0.9133858267716536,0.9206349206349206,0.9169960474308301,0.9652777777777778,0.08358335494995117
LightGBM,None,0.9117647058823529,0.9133858267716536,0.9206349206349206,0.9169960474308301,0.9652777777777778,0.10050082206726074
LightGBM,StandardScaler,0.8991596638655462,0.8984375,0.9126984126984127,0.905511811023622,0.9611678004535147,0.09992623329162598
GradientBoosting,StandardScaler,0.9033613445378151,0.905511811023622,0.9126984126984127,0.9090909090909091,0.9496173469387755,0.3164544105529785
GradientBoosting,None,0.9033613445378151,0.905511811023622,0.9126984126984127,0.9090909090909091,0.9494756235827665,0.33614611625671387
GradientBoosting,MinMaxScaler,0.9033613445378151,0.905511811023622,0.9126984126984127,0.9090909090909091,0.9494756235827665,0.33303403854370117
SVC_RBF,StandardScaler,0.8781512605042017,0.8646616541353384,0.9126984126984127,0.888030888030888,0.9352324263038548,0.19959497451782227
SVC_Poly,StandardScaler,0.8739495798319328,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.9273667800453513,0.13796019554138184
SVC_RBF,MinMaxScaler,0.8529411764705882,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.9236819727891157,0.19974660873413086
KNN,StandardScaler,0.8361344537815126,0.8270676691729323,0.873015873015873,0.8494208494208494,0.917906746031746,0.03349876403808594
SVC_Poly,MinMaxScaler,0.8529411764705882,0.864,0.8571428571428571,0.8605577689243028,0.9173044217687074,0.1998615264892578
KNN,MinMaxScaler,0.8403361344537815,0.84375,0.8571428571428571,0.8503937007874016,0.9139030612244898,0.02368783950805664
LogisticRegression,None,0.8403361344537815,0.84375,0.8571428571428571,0.8503937007874016,0.905187074829932,0.3150026798248291
LinearSVC,None,0.8361344537815126,0.8372093023255814,0.8571428571428571,0.8470588235294118,0.905045351473923,0.03320050239562988
LinearSVC,MinMaxScaler,0.8361344537815126,0.8372093023255814,0.8571428571428571,0.8470588235294118,0.9047619047619048,0.0331416130065918
LogisticRegression,MinMaxScaler,0.8319327731092437,0.8359375,0.8492063492063492,0.84251968503937,0.9043367346938775,0.03329920768737793
LinearSVC,StandardScaler,0.8319327731092437,0.8359375,0.8492063492063492,0.84251968503937,0.9041241496598639,0.017739057540893555
LogisticRegression,StandardScaler,0.8403361344537815,0.84375,0.8571428571428571,0.8503937007874016,0.9040532879818594,0.01632094383239746
SVC_Linear,MinMaxScaler,0.8445378151260504,0.8503937007874016,0.8571428571428571,0.8537549407114624,0.9019274376417233,0.11676383018493652
SVC_Linear,None,0.8403361344537815,0.84375,0.8571428571428571,0.8503937007874016,0.8988095238095238,33.08358073234558
SVC_Linear,StandardScaler,0.8361344537815126,0.84251968503937,0.8492063492063492,0.8458498023715415,0.8978174603174603,0.182342529296875
DecisionTree,None,0.8781512605042017,0.9145299145299145,0.8492063492063492,0.8806584362139918,0.8799603174603176,0.032941579818725586
DecisionTree,MinMaxScaler,0.8781512605042017,0.9145299145299145,0.8492063492063492,0.8806584362139918,0.8799603174603176,0.02639007568359375
DecisionTree,StandardScaler,0.8781512605042017,0.9145299145299145,0.8492063492063492,0.8806584362139918,0.8799603174603176,0.016968965530395508
SVC_Sigmoid,StandardScaler,0.7352941176470589,0.7480314960629921,0.753968253968254,0.7509881422924901,0.8353883219954648,0.14531588554382324
SVC_RBF,None,0.7352941176470589,0.7603305785123967,0.7301587301587301,0.7449392712550608,0.8111536281179138,0.3012528419494629
SVC_Poly,None,0.7436974789915967,0.7559055118110236,0.7619047619047619,0.758893280632411,0.8059807256235827,0.16654157638549805
KNN,None,0.7058823529411765,0.7058823529411765,0.7619047619047619,0.732824427480916,0.7872378117913832,0.016756534576416016
SVC_Sigmoid,MinMaxScaler,0.3697478991596639,0.4090909090909091,0.42857142857142855,0.4186046511627907,0.6940192743764173,0.28377437591552734
SVC_Sigmoid,None,0.5882352941176471,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6377551020408163,0.26589202880859375
