Model,Scaler,Accuracy,Precision,Recall,F1-Score,AUC-ROC
SVM (RBF),StandardScaler,0.8132183908045977,0.7894736842105263,0.823170731707317,0.8059701492537313,0.8944856839872747
XGBoost,NoScaling,0.8362068965517241,0.8364779874213837,0.8109756097560976,0.8235294117647058,0.8890177624602333
XGBoost,MinMaxScaler,0.8362068965517241,0.8364779874213837,0.8109756097560976,0.8235294117647058,0.8890177624602333
XGBoost,RobustScaler,0.8362068965517241,0.8364779874213837,0.8109756097560976,0.8235294117647058,0.8890177624602333
XGBoost,StandardScaler,0.8362068965517241,0.8364779874213837,0.8109756097560976,0.8235294117647058,0.8890177624602333
LightGBM,MinMaxScaler,0.8333333333333334,0.8354430379746836,0.8048780487804879,0.8198757763975155,0.8874270943796395
SVM (RBF),RobustScaler,0.8132183908045977,0.7964071856287425,0.8109756097560976,0.8036253776435045,0.8873608165429481
Random Forest,NoScaling,0.8189655172413793,0.8258064516129032,0.7804878048780488,0.8025078369905956,0.8873442470837754
Random Forest,MinMaxScaler,0.8189655172413793,0.8258064516129032,0.7804878048780488,0.8025078369905956,0.8869465800636267
Random Forest,StandardScaler,0.8189655172413793,0.8258064516129032,0.7804878048780488,0.8025078369905956,0.8869300106044538
Random Forest,RobustScaler,0.8189655172413793,0.8258064516129032,0.7804878048780488,0.8025078369905956,0.8868140243902439
Gradient Boosting,StandardScaler,0.8017241379310345,0.802547770700637,0.7682926829268293,0.7850467289719626,0.8860352598091199
Gradient Boosting,NoScaling,0.8017241379310345,0.802547770700637,0.7682926829268293,0.7850467289719626,0.8857038706256627
Gradient Boosting,RobustScaler,0.8017241379310345,0.802547770700637,0.7682926829268293,0.7850467289719626,0.8856707317073171
Gradient Boosting,MinMaxScaler,0.8017241379310345,0.802547770700637,0.7682926829268293,0.7850467289719626,0.8856044538706256
LightGBM,RobustScaler,0.8333333333333334,0.8486842105263158,0.7865853658536586,0.8164556962025317,0.8855050371155885
SVM (Linear),NoScaling,0.8362068965517241,0.8282208588957055,0.823170731707317,0.8256880733944955,0.8848422587486745
