Feature,Pearson_r,Pearson_pval,Spearman_r,Spearman_pval,PointBiserial_r,PointBiserial_pval,Mean_Negative,Mean_Positive,Diff_Means,Valid_Samples,Abs_Pearson
BA,-0.3115908139561496,2.565628116412695e-32,-0.33507865470024223,2.107086110869828e-37,-0.3115908139561496,2.565628116412695e-32,0.43337801945853655,0.26354025201712783,-0.16983776744140872,1374,0.3115908139561496
EOT,-0.30902643675920405,8.657664864534404e-32,-0.41104245949912055,3.8007323031031754e-57,-0.30902643675920405,8.657664864534404e-32,0.11639960581463416,0.026867825412384715,-0.08953178040224943,1374,0.30902643675920405
EO,-0.30662506626437197,2.674854852582792e-31,-0.41247421534957784,1.4301319663503503e-57,-0.30662506626437197,2.674854852582792e-31,1.433686986006504,0.4353736480909091,-0.9983133379155948,1374,0.30662506626437197
BAT,-0.2892345835104465,6.926073306033911e-28,-0.3041432207930547,8.48851399313989e-31,-0.2892345835104465,6.926073306033911e-28,0.029018900975609756,0.0059535367997364955,-0.023065364175873262,1374,0.2892345835104465
LDH,0.28046099101803945,2.6043519931317186e-27,0.4757036199318231,8.352319844315583e-82,0.28046099101803945,2.6043519931317186e-27,267.8541423886076,386.5175216743768,118.66337928576917,1433,0.28046099101803945
PCR,0.27668920915750533,3.450727394812338e-30,0.360086587845411,2.350293070613746e-51,0.27668920915750533,3.450727394812338e-30,45.904577063741584,88.94718830941758,43.042611245676,1639,0.27668920915750533
LYT,-0.25650738115162075,4.392546321500042e-22,-0.3135824761349379,9.893193858491188e-33,-0.25650738115162075,4.392546321500042e-22,1.638275170990244,1.147248616115942,-0.4910265548743018,1374,0.25650738115162075
WBC,-0.221909783178936,4.1310996818859187e-20,-0.2765705640799224,9.3639366769715e-31,-0.221909783178936,4.1310996818859187e-20,9.717654189276299,7.659649837466583,-2.058004351809716,1673,0.221909783178936
AST,0.2201741722534765,1.9690777292488294e-19,0.43101698905695884,4.446291976450493e-75,0.2201741722534765,1.9690777292488294e-19,34.862870583104694,57.17266843027262,22.30979784716793,1638,0.2201741722534765
MOT,-0.16601263279508016,5.975295264335909e-10,-0.3034430623576173,1.1733921640974114e-30,-0.16601263279508016,5.975295264335909e-10,0.7219427832325204,0.5414394277246376,-0.18050335550788277,1374,0.16601263279508016
CA,-0.16408665534033168,2.2101838398472583e-11,-0.43198194026178877,1.1444604471214226e-75,-0.16408665534033168,2.2101838398472583e-11,2.2908587184551887,2.1342081691685535,-0.15665054928663524,1643,0.16408665534033168
ALT,0.1599789086011666,7.234201382971275e-11,0.32394720350105316,2.2295183899514091e-41,0.1599789086011666,7.234201382971275e-11,32.46880463283654,46.07981653646039,13.611011903623854,1640,0.1599789086011666
CK,0.15576176709532386,3.312532845796753e-05,0.19731390362669185,1.306014787396647e-07,0.15576176709532386,3.312532845796753e-05,124.81709511593832,251.81971264958727,127.00261753364896,704,0.15576176709532386
HGB,0.1529453224434047,3.2122421270471247e-10,0.15181507057167162,4.3434969179242824e-10,0.1529453224434047,3.2122421270471247e-10,12.83362647948786,13.458517050190595,0.6248905707027355,1673,0.1529453224434047
RBC,0.14284120986856255,4.4032428988890066e-09,0.14193109486755323,5.525775749915943e-09,0.14284120986856255,4.4032428988890066e-09,4.4222458415687855,4.62951371132797,0.20726786975918454,1673,0.14284120986856255
HCT,0.14231677192401548,5.019693618249554e-09,0.13756021498123147,1.611943733371384e-08,0.14231677192401548,5.019693618249554e-09,38.44276260538728,40.040595986113864,1.597833380726584,1673,0.14231677192401548
NET,-0.14142873734516123,1.408628368745955e-07,-0.1538149193918109,1.0014703868234945e-08,-0.14142873734516123,1.408628368745955e-07,7.154014204760976,5.881481900955205,-1.2725323038057716,1374,0.14142873734516123
NE,0.1369360430755982,3.482311755107376e-07,0.14533574134864513,6.264436342197156e-08,0.1369360430755982,3.482311755107376e-07,70.33093318786992,73.97990846110672,3.6489752732368004,1374,0.1369360430755982
Sex,0.11497119589331303,1.5646488755151629e-06,0.11435986547273097,1.778506015936387e-06,0.11497119589331303,1.5646488755151629e-06,0.5195652173913043,0.6334967320261439,0.11393151463483953,1736,0.11497119589331303
PLT1,-0.11014852445537002,6.310511442604005e-06,-0.1260769360106735,2.2957494431886492e-07,-0.11014852445537002,6.310511442604005e-06,245.6892181932948,224.92808091241335,-20.761137280881456,1673,0.11014852445537002
NAT,-0.09755282883246855,6.756254065448115e-05,-0.16714756298652553,6.9128944917274295e-12,-0.09755282883246855,6.756254065448115e-05,139.0201704914819,138.12720266277918,-0.892967828702723,1663,0.09755282883246855
ALP,-0.09635823399623264,0.0006087670102007904,-0.11225910504634211,6.424480924777071e-05,-0.09635823399623264,0.0006087670102007904,95.3438087772884,81.58053685881411,-13.763271918474288,1262,0.09635823399623264
GLU,0.09625981158861607,9.542587690066402e-05,0.149107762750692,1.3274179534153046e-09,0.09625981158861607,9.542587690066402e-05,113.59038811221956,124.73888446976248,11.148496357542925,1638,0.09625981158861607
MCHC,0.09444776145961586,0.00010932906478991362,0.1010601813781395,3.4562570435357044e-05,0.09444776145961586,0.00010932906478991362,33.3306868936763,33.58428208752475,0.2535951938484473,1673,0.09444776145961586
LY,-0.09373095654934681,0.0005035296211179012,-0.09536730730349474,0.00040030662554241665,-0.09373095654934681,0.0005035296211179012,19.72675612103252,17.653126450826086,-2.073629670206433,1374,0.09373095654934681
Age,0.06740531229202447,0.005683034695381667,0.027623597032822623,0.25751751760503705,0.06740531229202447,0.005683034695381667,59.65357967667436,62.28903000594177,2.6354503292674067,1682,0.06740531229202447
MO,-0.053467427427243454,0.047533231712613484,-0.08140246475486144,0.0025306489026436234,-0.053467427427243454,0.047533231712613484,8.063050563699186,7.645741130860342,-0.41730943283884336,1374,0.053467427427243454
KAL,-0.053239785987820795,0.030277628209882352,-0.051118894696928166,0.03752365651826843,-0.053239785987820795,0.030277628209882352,4.2589083006541175,4.2036601903076924,-0.05524811034642507,1656,0.053239785987820795
