Feature,Importance,Imputation_Method
EOT,0.39738733,MICE
LDH,0.043947764,MICE
CA,0.037654363,MICE
WBC,0.032964066,MICE
BAT,0.030591104,MICE
RBC,0.027797613,MICE
EO,0.026114143,MICE
AST,0.024584552,MICE
NET,0.023664247,XGB_NoScale
MOT,0.022577073,MICE
PCR,0.020935318,MICE
BA,0.019802757,MICE
HGB,0.018004607,MICE
Age,0.01641225,MICE
MCH,0.015542217,MICE
ALT,0.015533603,MICE
ALP,0.015514135,XGB_Scaled
UREA,0.015236073,KNN
CREA,0.014813876,MICE
GLU,0.0146734165,MICE
LYT,0.013920871,MICE
MCV,0.013865638,MICE
LY,0.01386244,MICE
NAT,0.013795419,MICE
GGT,0.013744842,MICE
HCT,0.013374666,MICE
MO,0.0131665375,MICE
PLT1,0.0131198475,KNN
CK,0.011760322,MICE
MCHC,0.011662347,MICE
Sex,0.011579385,KNN
NE,0.011465706,MICE
KAL,0.010931473,MICE
