Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Stacking (LR),0.8218390804597702,0.8269230769230769,0.7865853658536586,0.80625,0.8931269883351007
Voting (Soft),0.8218390804597702,0.8311688311688312,0.7804878048780488,0.8050314465408805,0.8922653764581123
SVM (RBF),0.8103448275862069,0.7951807228915663,0.8048780487804879,0.8,0.8876922057264052
XGBoost,0.8247126436781609,0.8456375838926175,0.7682926829268293,0.805111821086262,0.8854387592788971
LightGBM,0.8103448275862069,0.8266666666666667,0.7560975609756098,0.7898089171974523,0.882423117709438
Random Forest,0.8103448275862069,0.8266666666666667,0.7560975609756098,0.7898089171974523,0.8810312831389183
Gradient Boosting,0.8160919540229885,0.8205128205128205,0.7804878048780488,0.8,0.8766900848356309
Stacking (RF),0.8103448275862069,0.8181818181818182,0.7682926829268293,0.7924528301886793,0.8636830593849417
SVM (Linear),0.8132183908045977,0.8113207547169812,0.7865853658536586,0.7987616099071208,0.8623409331919406
Logistic Regression,0.8074712643678161,0.7975460122699386,0.7926829268292683,0.7951070336391437,0.8619432661717922
KNN (k=5),0.7614942528735632,0.7454545454545455,0.75,0.7477203647416414,0.8199728260869565
Decision Tree,0.7614942528735632,0.7425149700598802,0.7560975609756098,0.7492447129909365,0.7546725874867444
