model,window_size,scaler,rmse,mae,r2,mape
Linear Regression,24,MinMaxScaler,392.9888504803342,280.5398181777676,0.9963326714087782,0.9050831871318298
Ridge Regression,24,MinMaxScaler,415.1166322330456,296.43565828862006,0.9959080564414097,0.9584545040929147
Random Forest,24,MinMaxScaler,493.32944677266516,368.21207738715833,0.994220856951821,1.1929588605005539
XGBoost,24,MinMaxScaler,441.183741279647,328.1503487660824,0.9953780167795812,1.0629514229504406
Linear Regression,168,MinMaxScaler,247.86464303767556,180.00753980699832,0.998542238271129,0.5819364990182284
Ridge Regression,168,MinMaxScaler,296.42590118259545,212.58720967291376,0.9979150786305272,0.6869713037838004
Random Forest,168,MinMaxScaler,491.00998777326924,369.4478635075201,0.9942794467107386,1.1988170100775004
XGBoost,168,MinMaxScaler,427.9105442095563,322.9951248547262,0.9956552643327248,1.0443299384368963
Linear Regression,24,StandardScaler,392.98885048032713,280.53981817774434,0.9963326714087785,0.905083187131724
Ridge Regression,24,StandardScaler,393.21126878603513,280.5753843621031,0.9963285190678935,0.905260272312604
Random Forest,24,StandardScaler,493.28388611077423,368.1838104024659,0.9942219243497871,1.1929185678091834
XGBoost,24,StandardScaler,441.1837366987156,328.1503426518585,0.9953780168755637,1.0629514182990696
Linear Regression,168,StandardScaler,247.86464303767283,180.0075398069914,0.998542238271129,0.5819364990181871
Ridge Regression,168,StandardScaler,248.8467014744257,180.60031279389787,0.9985306638629764,0.5838024142165993
Random Forest,168,StandardScaler,491.109674918341,369.5413930979086,0.9942771236479545,1.1991586736815592
XGBoost,168,StandardScaler,427.9105898922605,322.99517805451535,0.9956552634050576,1.04433010942713
