model,step,rmse,mae,r2,mape
Linear Regression,1,226.97559873572962,135.15562575907038,0.9714012756367352,4822158134939.732
Linear Regression,2,316.8536464012448,196.22851245403587,0.9442681552995492,9191884061851.79
Linear Regression,3,375.32248017287657,236.18084924803668,0.9217930590187893,12992954596229.143
Linear Regression,4,418.9471645958887,268.37835404340643,0.9025474834089029,16163178935196.152
Linear Regression,5,456.239407981499,295.8737572958991,0.884419340466763,18975644715424.867
Linear Regression,6,488.4720184318953,320.0445103252153,0.8675089514250414,21653119820399.0
Ridge Regression,1,226.96166074250505,134.9928830585802,0.9714047878784902,4737754184817.643
Ridge Regression,2,316.89790245452,196.12653508013196,0.9442525856902577,9132204479701.666
Ridge Regression,3,375.3709672590373,236.1169056945633,0.9217728509479817,12948186142670.281
Ridge Regression,4,418.9948793760633,268.3337856630061,0.902525283997643,16120229967835.48
Ridge Regression,5,456.29294106449925,295.8441967835677,0.88439221544454,18944079977943.1
Ridge Regression,6,488.51771457190125,320.0408120708352,0.8674841614167484,21632705091044.63
Random Forest,1,232.44465381608256,137.95657115375107,0.97000647943924,4127778641092.45
Random Forest,2,324.4344508995141,196.8834094706774,0.9415694561301637,7579801166989.394
Random Forest,3,384.37640648778637,236.6388466368601,0.9179743673860177,10661006599888.549
Random Forest,4,427.8600604332092,267.70249034203255,0.8983568667645165,13737409289477.229
Random Forest,5,464.224479736268,294.5074113874569,0.880338166045914,16690286412777.496
Random Forest,6,493.48325212258425,317.2021645671636,0.8647765562033158,19350341211193.387
XGBoost,1,236.816890199211,138.0664729778739,0.968867523508688,2895616290178.543
XGBoost,2,336.0127280111321,202.82611351954682,0.9373245506098673,6950154446138.39
XGBoost,3,390.1195713552155,239.73972992386354,0.9155048812386852,10196834525582.549
XGBoost,4,439.0315631661154,273.6213604232902,0.8929797316375258,13530270702752.574
XGBoost,5,473.3641267805807,300.6503941748929,0.875579981042156,16828170047705.688
XGBoost,6,504.33672014670475,321.94021158211893,0.8587630483920652,19773206627627.875
