Feature,Missing_%,KNN,MICE,XGB_NoScale,XGB_Scaled,Best_Method,Best_Change
Age,3.110599078341014,0.23968572550198183,0.06068983487123779,0.3049730892562127,0.2929990566429576,MICE,0.06068983487123779
CA,5.357142857142857,0.24563664342111885,0.014487171181624193,0.04407843772792706,0.03254321649402948,MICE,0.014487171181624193
CK,59.44700460829493,13.71082836163473,3.380335901779261,5.526799919307502,6.93163124195136,MICE,3.380335901779261
CREA,4.262672811059908,0.6202574845629952,0.037108418086762185,0.9941990880237749,1.01470718014992,MICE,0.037108418086762185
ALP,27.30414746543779,2.2053131905716725,1.046222661878225,0.8736808198783921,0.8169174959803481,XGB_Scaled,0.8169174959803481
GGT,25.115207373271893,6.416197624506566,1.974670986973435,4.352224654109742,4.020633718282396,MICE,1.974670986973435
GLU,5.64516129032258,0.2392751270004571,0.1720357445478248,0.3777532162573469,0.445866642820861,MICE,0.1720357445478248
AST,5.64516129032258,0.8788030893882868,0.16540335370289205,0.9258681415392909,1.0655475025042915,MICE,0.16540335370289205
ALT,5.529953917050691,0.49736077010370866,0.007109907036496986,0.04307458446565856,0.13675525741329944,MICE,0.007109907036496986
LDH,17.453917050691246,2.1100290122443854,0.9189228260868659,1.5130067293658325,1.5934835386042723,MICE,0.9189228260868659
PCR,5.587557603686636,1.9541482506295786,1.0743431927338076,2.638635878943296,2.232416487347568,MICE,1.0743431927338076
KAL,4.6082949308755765,0.11977134411090655,0.015247695567162056,0.05222279770263436,0.027410788689343456,MICE,0.015247695567162056
NAT,4.205069124423963,0.005212919046268803,0.0005799660813934048,0.009133149589922356,0.012930681924792782,MICE,0.0005799660813934048
UREA,38.94009216589861,1.0113584189428648,7.2258157050993175,7.310153191175138,7.3392701268034575,KNN,1.0113584189428648
WBC,3.6290322580645165,0.4489774260845042,0.0032252592472268187,0.012744573261061248,0.12342797511899814,MICE,0.0032252592472268187
RBC,3.6290322580645165,0.08303751826186812,0.003391929775597336,0.040188002163308895,0.033429717239149837,MICE,0.003391929775597336
HGB,3.6290322580645165,0.034410569989585256,0.0029406957026354495,0.04160558525845084,0.03554918710812584,MICE,0.0029406957026354495
HCT,3.6290322580645165,0.06834198499650279,0.0007524945263931501,0.006035675955255165,0.00355650371924361,MICE,0.0007524945263931501
MCV,3.6290322580645165,0.015646864426243884,0.0016681072442526121,0.05529525080324708,0.052993361659363594,MICE,0.0016681072442526121
MCH,3.6290322580645165,0.05442332432225082,0.000994784785016347,0.020793932746604984,0.007339641248762975,MICE,0.000994784785016347
MCHC,3.6290322580645165,0.036383540400777015,0.0010360836561900523,0.040318234801155726,0.05345377413769261,MICE,0.0010360836561900523
PLT1,3.6290322580645165,0.025391226190549475,0.04375406869084918,0.37446554198050863,0.2696856044891844,KNN,0.025391226190549475
NE,20.852534562211982,0.9877460371061084,0.008676810339990541,0.36896765102258533,0.38874061994685916,MICE,0.008676810339990541
LY,20.852534562211982,2.6656892006660886,0.009956895664542255,0.8252444801101334,0.9194847522717816,MICE,0.009956895664542255
MO,20.852534562211982,1.5882691618888247,0.003296326672843768,1.9170273177863524,1.776110122410439,MICE,0.003296326672843768
EO,20.852534562211982,9.820590827717485,0.5832621931886877,1.7114719798591151,1.8154740269287206,MICE,0.5832621931886877
BA,20.852534562211982,2.7529173720808644,0.3788741950034255,2.5468031916894622,2.7067203157451107,MICE,0.3788741950034255
NET,20.852534562211982,1.5120781938030647,2.022033182767268,0.557494100061434,0.7712120485530037,XGB_NoScale,0.557494100061434
LYT,20.852534562211982,3.4710212421283813,1.6655665173840823,5.4863578806018785,5.528124450122578,MICE,1.6655665173840823
MOT,20.852534562211982,1.7215409989887318,1.692282978647904,5.569504984335043,5.4556837139792735,MICE,1.692282978647904
EOT,20.852534562211982,10.687326962698208,2.1129741757915688,3.1303523226410603,2.7699982321843706,MICE,2.1129741757915688
BAT,20.852534562211982,4.316630349999506,4.1639921038533885,11.957563164050692,11.973267918485336,MICE,4.1639921038533885
