task,dnn_model,metric,dnn_value,accuracy,f1,model_path,preprocessing_match,preprocessing_notes,mae,rmse,pressure_r2,humidity_r2,mae_avg,f1_macro,precision,recall,tpr,tnr
heart_classification,"MLP(256x128,relu,a=0.0001,lr=0.01)",roc_auc,0.9416099773242632,0.8823529411764706,0.8914728682170543,C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\heart_classification_dnn_model.pkl,exact,StandardScaler + stratify split – identical to ML best.,,,,,,,,,,
covid_classification,"MLP(128x64,relu,a=0.0001,lr=0.01)",auc_roc,0.9009146341463414,0.8390804597701149,0.8260869565217391,C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\covid_classification_dnn_model.pkl,exact,KNNImputer(k=5) + StandardScaler + stratify split – identical to ML best.,,,,,,,,,,
temperature_regression,"MLP(256x128x64,relu,a=0.0001,lr=0.001)",r2,0.7439232741635364,,,C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\temperature_regression_dnn_model.pkl,exact,"Drop 3 cols, NaN-preserving LabelEncode, KNNImputer(5), StandardScaler – identical to ML.",3.822497922349837,4.857967212931075,,,,,,,,
multi_output_regression,"MLP(128x64x32,relu,a=0.0001,lr=0.001)",avg_r2,0.4664553105831146,,,C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\multi_output_regression_dnn_model.pkl,exact,Joint KNN imputation on X+y – identical to ML.,,,0.2557254433631897,0.6771851778030396,2.5817446522414684,,,,,
wind_forecasting,"MLP(256x128,relu,a=0.0001,lr=0.01)",r2,0.9706014974248086,,,C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\wind_forecasting_dnn_model.pkl,exact,"MinMax scaling, chronological split, window=24.",131.40090515831056,230.09819055416105,,,,,,,,
energy_forecasting,"MLP(256x128,relu,a=0.0001,lr=0.001)",r2,0.9976940152198336,,,C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\energy_forecasting_dnn_model.pkl,exact,"MinMax scaling, chronological split, window=24.",223.83414341353924,311.6258924478441,,,,,,,,
anomaly_employee,"MLP(256x128,relu,a=0.001,lr=0.001)",f1,0.7423043095866315,0.7443624161073825,,C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\anomaly_employee_dnn_model.pkl,exact,"Same train/test files, label encoding + StandardScaler.",,,,,,,0.7079623177184153,0.7801478953356087,,
anomaly_heart,"MLP(64,relu,a=0.0001,lr=0.001)",balanced_acc,0.7710798816410704,0.8808290155440415,0.5660377358490566,C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\anomaly_heart_dnn_model.pkl,exact,Same anomaly framing and reduced-positive-class imbalance.,,,,,,,,,0.6249999999739584,0.9171597633081824
anomaly_wine,"MLP(128x64x32,relu,a=0.0001,lr=0.001)",f1,0.9937369519832986,0.9969230769230768,,C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\anomaly_wine_dnn_model.pkl,exact,Same separate-class anomaly setup + StandardScaler.,,,,,,,,,0.9916666666646008,0.9986394557816336
weather_classification,"MLP(128x64,relu,a=0.001,lr=0.001)",auc_score,0.6406830585591832,0.4218061043348795,,C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\weather_classification_dnn_model.pkl,exact,"Same 31 engineered features, distribution_sampling imputation, no scaling.",,,,,,0.3083631412897857,,,,
