config,f1
"MLP(64,relu,a=0.0001,lr=0.001)",0.71557
"MLP(128,relu,a=0.0001,lr=0.001)",0.735748
"MLP(128x64,relu,a=0.0001,lr=0.001)",0.732896
"MLP(256x128,relu,a=0.0001,lr=0.001)",0.734961
"MLP(128x64x32,relu,a=0.0001,lr=0.001)",0.735386
"MLP(256x128x64,relu,a=0.0001,lr=0.001)",0.729322
"MLP(128x64,tanh,a=0.0001,lr=0.001)",0.737902
"MLP(256x128,tanh,a=0.0001,lr=0.001)",0.739726
"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",0.736034
"MLP(128x64,relu,a=0.001,lr=0.001)",0.734864
"MLP(128x64,relu,a=0.01,lr=0.001)",0.741009
"MLP(256x128,relu,a=0.001,lr=0.001)",0.742304
"MLP(128x64,relu,a=0.0001,lr=0.01)",0.728417
"MLP(256x128,relu,a=0.0001,lr=0.01)",0.734402
"MLP(256x128x64,relu,a=0.0001,lr=0.01)",0.736179
