config,balanced_acc
"MLP(64,relu,a=0.0001,lr=0.001)",0.77108
"MLP(128,relu,a=0.0001,lr=0.001)",0.651874
"MLP(128x64,relu,a=0.0001,lr=0.001)",0.556583
"MLP(256x128,relu,a=0.0001,lr=0.001)",0.5
"MLP(128x64x32,relu,a=0.0001,lr=0.001)",0.5
"MLP(256x128x64,relu,a=0.0001,lr=0.001)",0.5
"MLP(128x64,tanh,a=0.0001,lr=0.001)",0.711415
"MLP(256x128,tanh,a=0.0001,lr=0.001)",0.645957
"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",0.762081
"MLP(128x64,relu,a=0.001,lr=0.001)",0.556583
"MLP(128x64,relu,a=0.01,lr=0.001)",0.556583
"MLP(256x128,relu,a=0.001,lr=0.001)",0.5
"MLP(128x64,relu,a=0.0001,lr=0.01)",0.696499
"MLP(256x128,relu,a=0.0001,lr=0.01)",0.636958
"MLP(256x128x64,relu,a=0.0001,lr=0.01)",0.726331
