config,f1
"MLP(64,relu,a=0.0001,lr=0.001)",0.983299
"MLP(128,relu,a=0.0001,lr=0.001)",0.980311
"MLP(128x64,relu,a=0.0001,lr=0.001)",0.991632
"MLP(256x128,relu,a=0.0001,lr=0.001)",0.977035
"MLP(128x64x32,relu,a=0.0001,lr=0.001)",0.993737
"MLP(256x128x64,relu,a=0.0001,lr=0.001)",0.987526
"MLP(128x64,tanh,a=0.0001,lr=0.001)",0.979339
"MLP(256x128,tanh,a=0.0001,lr=0.001)",0.983368
"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",0.988554
"MLP(128x64,relu,a=0.001,lr=0.001)",0.991632
"MLP(128x64,relu,a=0.01,lr=0.001)",0.991632
"MLP(256x128,relu,a=0.001,lr=0.001)",0.977035
"MLP(128x64,relu,a=0.0001,lr=0.01)",0.993724
"MLP(256x128,relu,a=0.0001,lr=0.01)",0.990615
"MLP(256x128x64,relu,a=0.0001,lr=0.01)",0.98242
