config,auc_roc
"MLP(64,relu,a=0.0001,lr=0.001)",0.814455
"MLP(128,relu,a=0.0001,lr=0.001)",0.875663
"MLP(128x64,relu,a=0.0001,lr=0.001)",0.883881
"MLP(256x128,relu,a=0.0001,lr=0.001)",0.873608
"MLP(128x64x32,relu,a=0.0001,lr=0.001)",0.871322
"MLP(256x128x64,relu,a=0.0001,lr=0.001)",0.89253
"MLP(128x64,tanh,a=0.0001,lr=0.001)",0.866881
"MLP(256x128,tanh,a=0.0001,lr=0.001)",0.891404
"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",0.87321
"MLP(128x64,relu,a=0.001,lr=0.001)",0.883948
"MLP(128x64,relu,a=0.01,lr=0.001)",0.884047
"MLP(256x128,relu,a=0.001,lr=0.001)",0.873608
"MLP(128x64,relu,a=0.0001,lr=0.01)",0.900915
"MLP(256x128,relu,a=0.0001,lr=0.01)",0.900351
"MLP(256x128x64,relu,a=0.0001,lr=0.01)",0.889846
