config,r2
"MLP(64,relu,a=0.0001,lr=0.001)",0.995013
"MLP(128,relu,a=0.0001,lr=0.001)",0.995355
"MLP(128x64,relu,a=0.0001,lr=0.001)",0.996128
"MLP(256x128,relu,a=0.0001,lr=0.001)",0.996241
"MLP(128x64x32,relu,a=0.0001,lr=0.001)",0.995982
"MLP(256x128x64,relu,a=0.0001,lr=0.001)",0.99465
"MLP(128x64,tanh,a=0.0001,lr=0.001)",0.995522
"MLP(256x128,tanh,a=0.0001,lr=0.001)",0.993923
"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",0.995032
"MLP(128x64,relu,a=0.001,lr=0.001)",0.995234
"MLP(128x64,relu,a=0.01,lr=0.001)",0.993599
"MLP(256x128,relu,a=0.001,lr=0.001)",0.995716
"MLP(128x64,relu,a=0.0001,lr=0.01)",0.99545
"MLP(256x128,relu,a=0.0001,lr=0.01)",0.994115
"MLP(256x128x64,relu,a=0.0001,lr=0.01)",0.992819
