config,roc_auc
"MLP(64,relu,a=0.0001,lr=0.001)",0.88981
"MLP(128,relu,a=0.0001,lr=0.001)",0.891865
"MLP(128x64,relu,a=0.0001,lr=0.001)",0.8964
"MLP(256x128,relu,a=0.0001,lr=0.001)",0.912132
"MLP(128x64x32,relu,a=0.0001,lr=0.001)",0.911139
"MLP(256x128x64,relu,a=0.0001,lr=0.001)",0.914683
"MLP(128x64,tanh,a=0.0001,lr=0.001)",0.899022
"MLP(256x128,tanh,a=0.0001,lr=0.001)",0.906533
"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",0.904974
"MLP(128x64,relu,a=0.001,lr=0.001)",0.8964
"MLP(128x64,relu,a=0.01,lr=0.001)",0.8964
"MLP(256x128,relu,a=0.001,lr=0.001)",0.912132
"MLP(128x64,relu,a=0.0001,lr=0.01)",0.920351
"MLP(256x128,relu,a=0.0001,lr=0.01)",0.94161
"MLP(256x128x64,relu,a=0.0001,lr=0.01)",0.928005
