config,pressure_r2,humidity_r2,avg_r2
"MLP(64,relu,a=0.0001,lr=0.001)",0.176687,0.589023,0.382855
"MLP(128,relu,a=0.0001,lr=0.001)",0.206916,0.632647,0.419781
"MLP(128x64,relu,a=0.0001,lr=0.001)",0.203065,0.640094,0.42158
"MLP(256x128,relu,a=0.0001,lr=0.001)",0.178576,0.629412,0.403994
"MLP(128x64x32,relu,a=0.0001,lr=0.001)",0.19802,0.655052,0.426536
"MLP(256x128x64,relu,a=0.0001,lr=0.001)",0.161386,0.640656,0.401021
"MLP(128x64,tanh,a=0.0001,lr=0.001)",-3.2e-05,0.644465,0.322216
"MLP(256x128,tanh,a=0.0001,lr=0.001)",-0.001273,0.63506,0.316894
"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",-0.000337,0.635087,0.317375
"MLP(128x64,relu,a=0.001,lr=0.001)",0.201844,0.641582,0.421713
"MLP(128x64,relu,a=0.01,lr=0.001)",0.201668,0.638977,0.420323
"MLP(256x128,relu,a=0.001,lr=0.001)",0.216418,0.629972,0.423195
"MLP(128x64,relu,a=0.0001,lr=0.01)",0.209004,0.64051,0.424757
"MLP(256x128,relu,a=0.0001,lr=0.01)",0.186493,0.63621,0.411351
"MLP(256x128x64,relu,a=0.0001,lr=0.01)",0.154752,0.630264,0.392508
