config,r2
"MLP(64,relu,a=0.0001,lr=0.001)",0.718457
"MLP(128,relu,a=0.0001,lr=0.001)",0.719058
"MLP(128x64,relu,a=0.0001,lr=0.001)",0.726483
"MLP(256x128,relu,a=0.0001,lr=0.001)",0.727007
"MLP(128x64x32,relu,a=0.0001,lr=0.001)",0.726801
"MLP(256x128x64,relu,a=0.0001,lr=0.001)",0.73211
"MLP(128x64,tanh,a=0.0001,lr=0.001)",0.727082
"MLP(256x128,tanh,a=0.0001,lr=0.001)",0.728414
"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",0.727168
"MLP(128x64,relu,a=0.001,lr=0.001)",0.726603
"MLP(128x64,relu,a=0.01,lr=0.001)",0.727887
"MLP(256x128,relu,a=0.001,lr=0.001)",0.726774
"MLP(128x64,relu,a=0.0001,lr=0.01)",0.723102
"MLP(256x128,relu,a=0.0001,lr=0.01)",0.722418
"MLP(256x128x64,relu,a=0.0001,lr=0.01)",0.730551
