config,auc_score
"MLP(64,relu,a=0.0001,lr=0.001)",0.631949
"MLP(128,relu,a=0.0001,lr=0.001)",0.627354
"MLP(128x64,relu,a=0.0001,lr=0.001)",0.609576
"MLP(256x128,relu,a=0.0001,lr=0.001)",0.621468
"MLP(128x64x32,relu,a=0.0001,lr=0.001)",0.603668
"MLP(256x128x64,relu,a=0.0001,lr=0.001)",0.651434
"MLP(128x64,tanh,a=0.0001,lr=0.001)",0.612195
"MLP(256x128,tanh,a=0.0001,lr=0.001)",0.620157
"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",0.622279
"MLP(128x64,relu,a=0.001,lr=0.001)",0.654068
"MLP(128x64,relu,a=0.01,lr=0.001)",0.603718
"MLP(256x128,relu,a=0.001,lr=0.001)",0.631625
"MLP(128x64,relu,a=0.0001,lr=0.01)",0.49985
"MLP(256x128,relu,a=0.0001,lr=0.01)",0.501536
"MLP(256x128x64,relu,a=0.0001,lr=0.01)",0.709709
