config,r2
"MLP(64,relu,a=0.0001,lr=0.001)",0.970638
"MLP(128,relu,a=0.0001,lr=0.001)",0.970303
"MLP(128x64,relu,a=0.0001,lr=0.001)",0.970011
"MLP(256x128,relu,a=0.0001,lr=0.001)",0.970555
"MLP(128x64x32,relu,a=0.0001,lr=0.001)",0.970371
"MLP(256x128x64,relu,a=0.0001,lr=0.001)",0.970523
"MLP(128x64,tanh,a=0.0001,lr=0.001)",0.970584
"MLP(256x128,tanh,a=0.0001,lr=0.001)",0.969809
"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",0.970946
"MLP(128x64,relu,a=0.001,lr=0.001)",0.970411
"MLP(128x64,relu,a=0.01,lr=0.001)",0.970739
"MLP(256x128,relu,a=0.001,lr=0.001)",0.970579
"MLP(128x64,relu,a=0.0001,lr=0.01)",0.971042
"MLP(256x128,relu,a=0.0001,lr=0.01)",0.971094
"MLP(256x128x64,relu,a=0.0001,lr=0.01)",0.970887
