model,ensemble_type,r2_score,mse,mae,explained_variance,training_time_s
Stacking Regressor,Sequential (Stacking),0.7766450251688722,20.584232586851034,3.4717944665992437,0.7766456886369706,193.94299697875977
XGBoost,Individual,0.7662378769980953,21.543347818893945,3.5959846233383077,0.7662382594245728,0.6169586181640625
RandomForest,Individual,0.7648569663003972,21.67061154787324,3.53561281271379,0.7648881024260276,14.641912460327148
ExtraTrees,Individual,0.7594216255370096,22.171528612948485,3.5762638814492265,0.759423015315264,8.277211666107178
Voting Regressor,Parallel (Voting),0.7574551348030384,22.352758973626845,3.7345603912101404,0.7574574686351334,129.38291144371033
GradientBoosting,Individual,0.7386308776415109,24.087588869314377,3.8902242001382197,0.738630924091271,22.926091194152832
KNN,Individual,0.6537224399992072,31.91268893855063,4.3558572506465305,0.6539893045663924,1.646754503250122
Ridge,Individual,0.6108436781486153,35.864364551041945,4.908833937521012,0.6108442895355749,0.06950116157531738
Lasso,Individual,0.6100017747114534,35.941953761576926,4.921079292281251,0.6100019970679571,0.028714895248413086
ElasticNet,Individual,0.6090365982182524,36.03090372760492,4.930943089302893,0.6090368487531295,0.026357650756835938
