task,best_architecture,test_metric,val_metric,epochs,time_s
heart_classification,FeatureCross_64x3,0.9393424036281179,0.957975797579758,23,9.090131044387817
covid_classification,FeatureCross_128x2,0.8747017497348887,0.8646206574232747,21,8.112803220748901
temperature_regression,MultiScale_128x2,0.9996105716358298,0.9995904484813585,115,300.45034074783325
multi_output_regression,MultiScale_128x2,0.36856175371652333,0.38786724420370433,86,238.1236503124237
weather_classification,FeatureCross_64x3,0.766715291038517,0.521421054754491,94,333.94538712501526
wind_forecasting,MultiScale_128x2,0.9593474917794286,0.9703256843076266,83,371.77099227905273
energy_forecasting,FeatureCross_128x2,0.9964715625003292,0.9967234906530562,87,414.42227840423584
anomaly_employee,MultiScale_64x3,0.8378674364076467,0.8390048920881581,32,419.5139946937561
anomaly_heart,SqueezeExcite_128x2,0.9462159863945578,0.9557755775577558,25,3.3137340545654297
anomaly_wine,FeatureCross_128x2,0.9999744897959183,0.9953164859693877,53,53.14413332939148
