task,family,config,score_metric,score
anomaly_employee,standard-search,"MLP(256x128,relu,a=0.001,lr=0.001)",f1,0.742304
anomaly_employee,standard-search,"MLP(128x64,relu,a=0.01,lr=0.001)",f1,0.741009
anomaly_employee,standard-search,"MLP(256x128,tanh,a=0.0001,lr=0.001)",f1,0.739726
anomaly_employee,standard-search,"MLP(128x64,tanh,a=0.0001,lr=0.001)",f1,0.737902
anomaly_employee,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.01)",f1,0.736179
anomaly_employee,standard-search,"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",f1,0.736034
anomaly_employee,standard-search,"MLP(128,relu,a=0.0001,lr=0.001)",f1,0.735748
anomaly_employee,standard-search,"MLP(128x64x32,relu,a=0.0001,lr=0.001)",f1,0.735386
anomaly_employee,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.001)",f1,0.734961
anomaly_employee,standard-search,"MLP(128x64,relu,a=0.001,lr=0.001)",f1,0.734864
anomaly_employee,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.01)",f1,0.734402
anomaly_employee,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.001)",f1,0.732896
anomaly_employee,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.001)",f1,0.729322
anomaly_employee,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.01)",f1,0.728417
anomaly_employee,standard-search,"MLP(64,relu,a=0.0001,lr=0.001)",f1,0.71557
anomaly_heart,standard-search,"MLP(64,relu,a=0.0001,lr=0.001)",balanced_acc,0.77108
anomaly_heart,standard-search,"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",balanced_acc,0.762081
anomaly_heart,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.01)",balanced_acc,0.726331
anomaly_heart,standard-search,"MLP(128x64,tanh,a=0.0001,lr=0.001)",balanced_acc,0.711415
anomaly_heart,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.01)",balanced_acc,0.696499
anomaly_heart,standard-search,"MLP(128,relu,a=0.0001,lr=0.001)",balanced_acc,0.651874
anomaly_heart,standard-search,"MLP(256x128,tanh,a=0.0001,lr=0.001)",balanced_acc,0.645957
anomaly_heart,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.01)",balanced_acc,0.636958
anomaly_heart,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.001)",balanced_acc,0.556583
anomaly_heart,standard-search,"MLP(128x64,relu,a=0.001,lr=0.001)",balanced_acc,0.556583
anomaly_heart,standard-search,"MLP(128x64,relu,a=0.01,lr=0.001)",balanced_acc,0.556583
anomaly_heart,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.001)",balanced_acc,0.5
anomaly_heart,standard-search,"MLP(128x64x32,relu,a=0.0001,lr=0.001)",balanced_acc,0.5
anomaly_heart,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.001)",balanced_acc,0.5
anomaly_heart,standard-search,"MLP(256x128,relu,a=0.001,lr=0.001)",balanced_acc,0.5
anomaly_wine,standard-search,"MLP(128x64x32,relu,a=0.0001,lr=0.001)",f1,0.993737
anomaly_wine,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.01)",f1,0.993724
anomaly_wine,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.001)",f1,0.991632
anomaly_wine,standard-search,"MLP(128x64,relu,a=0.001,lr=0.001)",f1,0.991632
anomaly_wine,standard-search,"MLP(128x64,relu,a=0.01,lr=0.001)",f1,0.991632
anomaly_wine,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.01)",f1,0.990615
anomaly_wine,standard-search,"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",f1,0.988554
anomaly_wine,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.001)",f1,0.987526
anomaly_wine,standard-search,"MLP(256x128,tanh,a=0.0001,lr=0.001)",f1,0.983368
anomaly_wine,standard-search,"MLP(64,relu,a=0.0001,lr=0.001)",f1,0.983299
anomaly_wine,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.01)",f1,0.98242
anomaly_wine,standard-search,"MLP(128,relu,a=0.0001,lr=0.001)",f1,0.980311
anomaly_wine,standard-search,"MLP(128x64,tanh,a=0.0001,lr=0.001)",f1,0.979339
anomaly_wine,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.001)",f1,0.977035
anomaly_wine,standard-search,"MLP(256x128,relu,a=0.001,lr=0.001)",f1,0.977035
covid_classification,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.01)",auc_roc,0.900915
covid_classification,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.01)",auc_roc,0.900351
covid_classification,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.001)",auc_roc,0.89253
covid_classification,standard-search,"MLP(256x128,tanh,a=0.0001,lr=0.001)",auc_roc,0.891404
covid_classification,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.01)",auc_roc,0.889846
covid_classification,standard-search,"MLP(128x64,relu,a=0.01,lr=0.001)",auc_roc,0.884047
covid_classification,standard-search,"MLP(128x64,relu,a=0.001,lr=0.001)",auc_roc,0.883948
covid_classification,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.001)",auc_roc,0.883881
covid_classification,standard-search,"MLP(128,relu,a=0.0001,lr=0.001)",auc_roc,0.875663
covid_classification,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.001)",auc_roc,0.873608
covid_classification,standard-search,"MLP(256x128,relu,a=0.001,lr=0.001)",auc_roc,0.873608
covid_classification,standard-search,"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",auc_roc,0.87321
covid_classification,standard-search,"MLP(128x64x32,relu,a=0.0001,lr=0.001)",auc_roc,0.871322
covid_classification,standard-search,"MLP(128x64,tanh,a=0.0001,lr=0.001)",auc_roc,0.866881
covid_classification,standard-search,"MLP(64,relu,a=0.0001,lr=0.001)",auc_roc,0.814455
energy_forecasting,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.001)",r2,0.996241
energy_forecasting,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.001)",r2,0.996128
energy_forecasting,standard-search,"MLP(128x64x32,relu,a=0.0001,lr=0.001)",r2,0.995982
energy_forecasting,standard-search,"MLP(256x128,relu,a=0.001,lr=0.001)",r2,0.995716
energy_forecasting,standard-search,"MLP(128x64,tanh,a=0.0001,lr=0.001)",r2,0.995522
energy_forecasting,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.01)",r2,0.99545
energy_forecasting,standard-search,"MLP(128,relu,a=0.0001,lr=0.001)",r2,0.995355
energy_forecasting,standard-search,"MLP(128x64,relu,a=0.001,lr=0.001)",r2,0.995234
energy_forecasting,standard-search,"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",r2,0.995032
energy_forecasting,standard-search,"MLP(64,relu,a=0.0001,lr=0.001)",r2,0.995013
energy_forecasting,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.001)",r2,0.99465
energy_forecasting,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.01)",r2,0.994115
energy_forecasting,standard-search,"MLP(256x128,tanh,a=0.0001,lr=0.001)",r2,0.993923
energy_forecasting,standard-search,"MLP(128x64,relu,a=0.01,lr=0.001)",r2,0.993599
energy_forecasting,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.01)",r2,0.992819
heart_classification,pytorch-advanced,adv_weighted_bce,val_auc,0.958251
heart_classification,pytorch-advanced,adv_wider,val_auc,0.956656
heart_classification,pytorch-advanced,adv_warmup_cosine,val_auc,0.955446
heart_classification,pytorch-advanced,adv_residual_wide,val_auc,0.955226
heart_classification,pytorch-advanced,adv_residual,val_auc,0.954455
heart_classification,pytorch-advanced,adv_best_combo,val_auc,0.95209
heart_classification,pytorch-standard,pt_sgd_momentum,val_auc,0.960066
heart_classification,pytorch-standard,pt_baseline,val_auc,0.957536
heart_classification,pytorch-standard,pt_dropout_04,val_auc,0.957316
heart_classification,pytorch-standard,pt_dropout_02,val_auc,0.955941
heart_classification,pytorch-standard,pt_full_modern,val_auc,0.955886
heart_classification,pytorch-standard,pt_scheduler_cosine,val_auc,0.95462
heart_classification,pytorch-standard,pt_batchnorm,val_auc,0.953245
heart_classification,pytorch-standard,pt_adamw,val_auc,0.953135
heart_classification,pytorch-standard,pt_bn_dropout,val_auc,0.952695
heart_classification,pytorch-standard,pt_scheduler_plateau,val_auc,0.952585
heart_classification,scratch-layers,scratch_flex_small,val_auc,0.953685
heart_classification,scratch-layers,scratch_residual_128x2,val_auc,0.953465
heart_classification,scratch-layers,scratch_flex_256_128,val_auc,0.953355
heart_classification,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.01)",roc_auc,0.94161
heart_classification,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.01)",roc_auc,0.928005
heart_classification,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.01)",roc_auc,0.920351
heart_classification,standard-search,"MLP(256x128x64,relu,a=0.0001,lr=0.001)",roc_auc,0.914683
heart_classification,standard-search,"MLP(256x128,relu,a=0.0001,lr=0.001)",roc_auc,0.912132
heart_classification,standard-search,"MLP(256x128,relu,a=0.001,lr=0.001)",roc_auc,0.912132
heart_classification,standard-search,"MLP(128x64x32,relu,a=0.0001,lr=0.001)",roc_auc,0.911139
heart_classification,standard-search,"MLP(256x128,tanh,a=0.0001,lr=0.001)",roc_auc,0.906533
heart_classification,standard-search,"MLP(256x128x64,tanh,a=0.0001,lr=0.001)",roc_auc,0.904974
heart_classification,standard-search,"MLP(128x64,tanh,a=0.0001,lr=0.001)",roc_auc,0.899022
heart_classification,standard-search,"MLP(128x64,relu,a=0.0001,lr=0.001)",roc_auc,0.8964
heart_classification,standard-search,"MLP(128x64,relu,a=0.001,lr=0.001)",roc_auc,0.8964
heart_classification,standard-search,"MLP(128x64,relu,a=0.01,lr=0.001)",roc_auc,0.8964
heart_classification,standard-search,"MLP(128,relu,a=0.0001,lr=0.001)",roc_auc,0.891865
heart_classification,standard-search,"MLP(64,relu,a=0.0001,lr=0.001)",roc_auc,0.88981
multi_output_regression,standard-search,"MLP(256x128,relu,a=0.001,lr=0.001)",pressure_r2,0.216418
