task,metric,best_dnn_model,best_dnn_value,ml_model,ml_value,winner,scratch_best_config,scratch_best_value,overall_best_label,overall_best_value,preprocessing_match,preprocessing_notes,model_path
anomaly_employee,f1,"MLP(256x128,relu,a=0.001,lr=0.001)",0.7423043095866315,DBSCAN,0.4694,DNN,,,,,exact,"Same train/test files, label encoding + StandardScaler.",C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\anomaly_employee_dnn_model.pkl
anomaly_heart,balanced_acc,"MLP(64,relu,a=0.0001,lr=0.001)",0.7710798816410704,Elliptic Envelope,0.664,DNN,,,,,exact,Same anomaly framing and reduced-positive-class imbalance.,C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\anomaly_heart_dnn_model.pkl
anomaly_wine,f1,"MLP(128x64x32,relu,a=0.0001,lr=0.001)",0.9937369519832986,Elliptic Envelope,0.9188,DNN,,,,,exact,Same separate-class anomaly setup + StandardScaler.,C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\anomaly_wine_dnn_model.pkl
covid_classification,auc_roc,"MLP(128x64,relu,a=0.0001,lr=0.01)",0.9009146341463414,Stacking (LR),0.8974681866383881,DNN,,,,,exact,KNNImputer(k=5) + StandardScaler + stratify split – identical to ML best.,C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\covid_classification_dnn_model.pkl
energy_forecasting,r2,"MLP(256x128,relu,a=0.0001,lr=0.001)",0.9976940152198336,Linear Regression,0.998542238271129,ML,,,,,exact,"MinMax scaling, chronological split, window=24.",C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\energy_forecasting_dnn_model.pkl
heart_classification,roc_auc,"MLP(256x128,relu,a=0.0001,lr=0.01)",0.9416099773242632,StackingClassifier,0.9783871882086168,ML,scratch_flex_small,0.942035,adv_residual_wide,0.951672,exact,StandardScaler + stratify split – identical to ML best.,C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\heart_classification_dnn_model.pkl
multi_output_regression,avg_r2,"MLP(128x64x32,relu,a=0.0001,lr=0.001)",0.4664553105831146,XGBoost_MultiOutput,0.9282,ML,,,,,exact,Joint KNN imputation on X+y – identical to ML.,C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\multi_output_regression_dnn_model.pkl
temperature_regression,r2,"MLP(256x128x64,relu,a=0.0001,lr=0.001)",0.7439232741635364,Stacking,0.7766451114399587,ML,scratch_temp_residual_128x2,0.7347,adv_residual_wide,0.752036,exact,"Drop 3 cols, NaN-preserving LabelEncode, KNNImputer(5), StandardScaler – identical to ML.",C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\temperature_regression_dnn_model.pkl
weather_classification,auc_score,"MLP(128x64,relu,a=0.001,lr=0.001)",0.6406830585591832,Random Forest_NoNorm,0.8492850598383219,ML,,,,,exact,"Same 31 engineered features, distribution_sampling imputation, no scaling.",C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\weather_classification_dnn_model.pkl
wind_forecasting,r2,"MLP(256x128,relu,a=0.0001,lr=0.01)",0.9706014974248086,Ridge Regression,0.9713637068704136,ML,scratch_wind_flex_256_128,0.970979,pt_scheduler_cosine,0.971016,exact,"MinMax scaling, chronological split, window=24.",C:\Users\LENOVO\Desktop\Sem 8 TPs\deepl\ML tp0\dnn_results\models\wind_forecasting_dnn_model.pkl
